w_id	word	Chechen	ZH..АЗ.Azerbaijani	ZI..KU..Kumyk	ZJ..KT..Kumyk_Kajtag_Tumenler	A..АВЧД.Avar..Chadakolob.	B..АНД.Andi		C..АХВ.Akhvakh	D..ЧАМ.Chamalal	E..ЧАМГ.Chamalal..Gigatli.	F..ТИНД.Tindi	G..ИНХ.Inkhokwari	H..ЦЕЗ.Tsez	I..ГИН.Hinuq	J..БЕЖТ.Bezhta..Tladal.	K..БЕЖХ.Bezhta..Khoshar.Khota.	L..ГУНЗ.Hunzib	M..ЛАК.Lak	N..ДАРЧ.Chirag.Dargwa	O..АРЧ.Archi	P..ТАБД.Tabasaran..Dyubek.	Q..ТАБК.Tabasaran..Kondik.	R..АГБЩ.Agul..Burshag.	S..АГРИ.Agul..Richa.	T..АГБХ.Agul..Burkikhan.	U..АГФИ.Agul..Fite.	V..АГТП.Agul..Tpig.	W..ЛЕЗХ.Lezgian..Khlyut.	X..РУТЛ.Rutul..Luchek.	ZA..ЦАХ.Tsakhur..Mikik.	ZB..ЦАХГ.Tsakhur..Helmets.	ZC..ЦАХЦ.Tsakhur..Tsakhur.	ZD..КРЫЗ.Kryz	ZE..БУД.Budugh	ZF..ХИН.Khinalug	ZG..УД.Udi
154	БЕЛКА	тарсал	дәлә, синҹаб	гёзен, атъялман	атъялман	bésk'u, šuL'ú	darG˳a/HL, sarL'u/H		reL̄'u/HL, šĩda-reL̄'u/H-HL, g˳ãg˳a/L	jeL˳ˈ/L	reL'ú/L, meséX̄u/H	reL'u, handa-reL'u, g˳ang˳a	maduLa/LH, K'uRu/H	maduLi, k'uR	maduLa, k'uR	izmat'o/HM, k'o:/RH, č'eq'i/M	izmat'o, k'oho, ciq'i	ə̃zbat'u, k'o	t̄arq˳ˈa, dalak	térg˳a, X̄Iarc'	tunL', s̄̌íbuX̄al	küt/H, c'urc'úl/R, heržíl || héržil	terk˳, c'urc'úl, Xaz	turk, Hurčál, c'urc'úl	turk, Hurčál, c'ulc'úl	turk, Harčáj, Xaz	turk	NA	cc'ɨl, Xaz	tüky, sɨrɨ́c'al	sok || syok/L, sulec'man/LRL	sok, sirac'a	syok, syuric'ma	ǯěk, dälä	čok	k'únk'ut'a, delä́	kɨrɨt̃
155	МЫШЬ	дехка	сичан	чычкъан, лобан	чичкъан	ʕunk'	hink̄'u/LH		ĩk̄'ot'i/RRL	hek'˳ad/H	hek'áča/LH	hek̄˳a:	ãq˳ˈa/HL	aw	aq˳ˈe	ãq'o/H	aq'o	ãq'u	k'ulu	wáca	noq'Ión	q'Iul/R	q'Iul	NA	q'Iul	ʡal	q'Iul	NA	q'if	q'Iul	q'Iow/RL	NA	q'Iow	q'al	q'al	nuk'úr	meIl
156	еж	зу	кирпи	кирпи	кирпи	ʕunžúq'	onži/HL		hužuruq'e/HHHL	Hužruq'/L	Húžruq'/L	Hužruq'	Hužruq'/LH	NA	ʕužruq'	q'unduz/L	q'undubuz	q'unduz	c̄ac-k'ulu	q'Iábk̄a	cáclin gátu	q'Iúrdu-mága/F-R	RIut'-rahím	q'iríbiri	jamán	q'urúbil	q'udúbil	NA	q'üngúr	RIɨllɨ́nc'	kilypiky/L	kirpiky	kirpiky	q'üRěr	ǯaʕǯu	c'ɨzášXer	(c̃ac̃na) RIaRIal
157	ОРЕЛ	аьрзу	гартал, гырғы, гызылгуш, шаһин	къаракъуш, къыргъый, лачин, лачин	къиргъий, лачин, лачин	c'um, qírRo	c̄'un/R, qačirRa/HHL		c̄˳ˈĩ:/L, ɫ˳elaL̄iL'a/HHHF, q̄ãc̄̌iRa/HHL	s'ũj/L, aXaša/H, ercim/L, qarciRa/L	c'ũj/L, aXaša-c'ũj/H-L, nuqá/L, qarčiRá/L	cũ, qašiR˳a, qazi	etakan/H, qarčiRa/HL, t'it'ihu/HHL	ce, kurzak'u	coj, kurzak'u	zera/H, ʕäžäberä/H, cũ:/L, kordak'o/H	q'orgijan, k'orzak'o, cuh	cu, gudbaq, bəXɵ:s	barzu, q̄arčiRaj, lačin, q̄irRu	ʕarč'íme, k'érza, wáIwac	liq'I, qérRu, k'éIhu	lúq'Iu/H, bazí/F, wačáj/L	luq'I, p̄azí, ǯünérg	laq'I, p̄azí	marc', liq'I, pazí	laʡ, p̄azí	lurq'I, p̄azí	NA	läq', k̃ard, arxíl	lɨq'I, ǯiník˳ˈ || ǯinúk' || ǯinúg	čalaRan/H, q'aǯir/HL, GIɨrRIɨ	[same]	čalaRan, q'ažir, GIɨrRI	GuzRun, čalaRan, GirRi	Gartal, čalaRan, GirRi	q̃ará-q̃uzRún, q̃ɨrRɨ́	q̃uzRun, q̃irRi
158	ВОРОНА	къиг	алагарға	къаргъа	къаргъа	Rédu	Ranni/HL		Rãdi || Rãde/HL	q˳ˈaRã/L	bat'a-q'úl/L	qoba	Rade/HL	R˳Iadi	R˳ad	Räde/ML	Räde	Rãde	UIt̄a-qat'u	q̄úlq̄a, q̄ulq̄á-q̄Ianá	qIipíXIan	qIút̄u/R	q˳Iat̄	q̄˳IaŘánaj	q̄arRá	q̄˳aŘánaj	qiR	NA	p̃äq	qIad	GarRa/H	qIan	qIan, GarRa	GärRä	GarRa	q̃amár	RIajna
159	ГАЛКА	хьарг1а	долаша	жагъа	жагъа	NA	c̄̌'inRa/HL		ʕama/HL, c̄̌'ãRa/HL, q˳a/H	s'aRa/L	č'anRá/L	c̄̌aR˳a	emɨs/H k'ɨca/HL	NA	NA	NA	NA	NA	qat'u	c'at̄ár-q̄Ianá	k'an	čaIrčaʔál/R, č'áRa/H	č'aR	k'ar	qIad, liq'I	k'er	q˳Iat̄	NA	č'aR	č˳ˈed	č'ɨRIa:/LR	č'ɨRIaj	č'ɨRIa	č'aR	č'aR	č'aʕ	NA
160	СОРОКА	къорза къиг	сағсаған	савусгъан	лакълакъи	NA	čordi-Ranni/HL-HL		čãRadi || čãRade/HHL	q'ačirRã/L	ʕač'abál-Raní/L-L	qaši-Randi	ačir-Rade/HL-HL	NA	NA	NA	NA	q'ač'q'ač'u	warq̄Iu	wárq̄Ia, qúl-warq̄Ia	k'urt'ú-qIan	c'aIrc'aq'Iál/R	q̄Iarq̄Iár	NA	q̄Iaráq̄Ial	q̄aráq̄il	q̄Iaráq̄il	NA	kerékel	GIaráGIal	GIaraq̄Ian/H	NA	GIaraq̄Ian	k'ěräk'ěl	saRsaRan	saRsaRán	zɨRzɨR
161	КУКУШКА	х1уттут	гугу гушу	атъёкъ	атъёкъ	gígo || gígu	giḡu/H		gegu/H	geg˳/H	gúggu/H	gyegu	k'uk'u/L	kuku	kuku	kukut'o/H	kukut'o	k'uk'ut'o	c̄̌ik̄u	k̄ík̄up	gík̄u	gúk̄um/R	k̄uk̄úm	k̄úk̄um	k̄ék̄u	k̄ik̄u	k̄úk̄u	NA	k̃ík̃u	gíggu	guk̄i || guk̄ɨ/R	dyaggu	dyak̄ɨ || dyak̄˳i	gugu	gugut'	k̃ók̃k̃u || k̃ák̃k̃u	NA
162	ЦАПЛЯ	NA	гуш	чилкъуш	чилкъуш	q'unq'rá	NA		q'uq'ura/RRL	q'uri-q'ara/L-L	q'urí-q'ará/L-L	q'unq'ra	q'irq˳ˈa/LH	qoq	qoq	qaqa/ML	qaqa	qɵ̃qe	q'uruq'	q'arq'	q˳ˈért'i	haIǯí-leglége/L	haIǯí-leglég	urʔúraj	ʕulʕúlaj	bezbéluk	urʔúraj	NA	durná, Häǯí leglég	durná	NA	durna	NA	durna	durnə	durná	häǯi-dälläj
163	птица хищная ночная (сова, филин)	#N/A	бајгуш, јапалаг	ябалакъ, кикимав	кІикІимав	ruz	buhu/L		bus̄e/L	buh/L	búhu/L	buhu	buhu/L	q'Iado	buhu	ruz/M	ruz	hohodu, mor	isu	t'úma	ísu	gugúnaj/F	(gugu) t'íp̄	búhum, k̄úk̄baIw	búhuj	búhu	ǯinírg˳aj, búhu	NA	t'ib, gumbát	t'ɨb	bajRuš/HL	NA	bajRuš	t'ub	bajGuš	bajRúš	bajRuš
164	УЛАР		улар	?	?	ʕanšá	NA		č˳ãč˳a/HL	nus̄ija/L	mus̄ijá/L	nuseji	ẽzo/L	izo	NA	NA	NA	NA	s̄uli	s̄uIllínt	mus̄ál	ulís̊um/R	ulúsum	ulús̄um	ulúsun	ulúsum	ulúsum	NA	s˳al	s˳al	sole/HL	NA	sole	sel	NA	hüllǘt'	NA
165	КУРОПАТКА	моша	кәклик	къыртавукъ	къиртавукъ	moq'óq'	RobRo/H		RaRiba/HHF	RaRa/L	RóRa/L	RaRa	RoRba/FH	q'oq'ot'u	RoR	wanaras güdä	wanaʔas güdä	RɵRba	q̄aqnu	q̄áq̄ba	qIon	Gaq̄ubá/R	RIud	baq̄áq̄-Řur, ǯaq'ít'-Řur	Řud	Řad	RIud	NA	q̃˳äd	RIud	RIon/H	RIon	GIon	čil, käkäl	kəkɨl	k'ak'ɏíd	aIl
166	ГОЛУБЬ	кхокха	ҝөјәрчин, диши ҝөјәрчин	гёгюрчюн	гоьгуьрчуьн	mikí	RuRu/H		RuRu/H	RũR/H	RunRú/H	RunRnu	ilba/LH	t'umi/L	olbo	ilbä/ML	t'imo	ilba	x̄˳i	néx˳a	X̄urk'	luf/H	luf	luf	NA	NA	luf	NA	lif	lirx˳áj || lirxój || lirfój	qIɨne:ke/LR	nurxaj	qIɨnerke	lɨf	gügarčin	čänč	k̃unk̃uri, göjärčin
167	ЛАСТОЧКА	ч1егардиг	гарангуш	къарлыгъач	ч1ат1а	mitíršu	horč'ičol/HL		raL'iča/HHL	NA	sančára/L	L'ič˳ara	L'ičar/H	RIajet'u	ač'i	Xäč'ö/M	Xäč'ö	ãč'u	čit'u	žát̄a	žíbəla	bisímč'i/R	psinč'	NA	bišík'y	bišík'y	bilíšaj	NA	čpánuk'	bibíčil	beberčɨn/H	beberčul	beberčun	mič'ěHul	Garan-Guš	q̃aran-q̃úš	bac̄̌Iajna
168	ПТИЦА	хьоза	гуш	къуш, жан	къуш; чимчикъ	Hinc'	s̄̌ekib/HL		s̄̌akiba/HHF, č'ĩ:q'a/HL	č'or/L	sečíb/LH	s̄̌akyib	K'ɨca/HL	aRi	mihna	mi:nä	mihna	č'eq	liluX̅Ii	iXIlíq'Ian, čák˳a	noc'	ǯáq'a/H	ǯaq˳ˈ, č'aIrt'	ǯaq˳ˈ	žaq˳ˈ	čüky, ǯaq˳ˈ	ǯaq˳ˈ	NA	q̃uš, nuc'	šej, širúk	Guš/H, šit'i/RL	Guš	šit'	Guš	Guš	q̃uš	q̃uš, čoval
169	ГНЕЗДО	бен	јува	уя	ука	NA	bešon		rẽš˳a/HL	q'iš˳/H	inčá/L	beX˳an	muže/LH	muži	muži	šĩ/RL	si	bɵk'	kuIru	muq', meg˳	Xal	múq'u/H	muq'	mug	NA	mug	mug	NA	mɨg	ékul	ak˳a/HR	NA	ak˳a	nɨbä	jəvə	juvá	mes
170	РЫБА	ч1ара	балыг	балыкъ, чабакъ	баликъ	cuʕá	X˳ami/HL		c̄̌uʕa/HL	X˳am/L	čoʕá/H	X˳ã	č˳ã:/HR	besuro	besuro	bisa/M	bisa	bɨsə	haIwa, čawaq, baluR	k'as̄	XIábXIi	číč'i/H	čič'	balúʕ	č'ek̄y	NA	balúR	NA	balúR	balúR	baluR/HF	[same]	baluR	balɨR	baluR	balɨ́R	čäli
171	ЛЯГУШКА	пхьид	гурбаға	бакъа	бакъа	q˳ˈeq'	q'urru/H		koq̄'o/HL	q'ũq'/H	q'unq'ú/H	q'o(r)q'u	ɫoxro/H	LoHro	Loči	ʕöt'e/H	LaplaRe	Xõt'oXo	uIrbat'i	RIát'a	úIrbət'i	baq̄Iácacaj/F	RIump'át'at'a	Řu	karká-Řub	ʡawán-caj	RIuban-caj́	NA	q̃ib	RIɨb	q'ulybaRa/LR	palqIaj	q'ulbaRa	Gub	GublaRa	q'urq'-ór	beIdalaq̃
172	ЯЩЕРИЦА	моьлкъа	кәртәнкәлә	кесертки	гьалкъа	L'ec	k̄onc̄̌u/HL		k'ãc̄ara/RRL	k'ank˳ˈarac/H	t'ax̄é-k'ača/HR-H	k'yanc̄̌i	q'urq'ač'/LH	šetro	šotra	k'emüšä/H	k'emusa	čut', k'imišu	q'Iurs̄̌ala	s̄̌át'a	úIns̄̌əla	čurčúl/H	čṷr̭čúl	k̄úk̄um	gabál	k̄abílaj	k̄̌abílaj	NA	Xurlínk', fi̭tfíl	maq'Iáwaq'I	baInik/RL	bɨInek	baInek	c'inc'äk˳aj	k'ijat'ər	c'in-k'az	dereval
173	ЗМЕЯ	лаьхьа	илан	йылан	йилан	burúx	berča/L		beka/L	beča/L	béča/L	bekya	bekol/LH	bikori/L	bikore	bekelä/MML	bekela	begala	šat̄a	maIlʕún	jáIt'i	bít'i/H	bit'	NA	NA	ilán	ilán	NA	Ülä́R	ǧar	Xoče/HL	Xočä	Xoče	ilan	jer	k'az	dizik̃
174	ЧЕРВЬ ЗЕМЛЯНОЙ	NA	гурд	хурт	хурт	ʕárxu-burúx	berča		beka	beča	s̄ant'-í-béča/L-L	c̄̌ic̄̌ub bekya	bekol	Rumeli	bika	bet'elä/MML	bet'ela	bət'i	q'Iunuq'Ii	miláq̄˳I	X˳árši, milíXIu	muláqI/R, šar	maláqI, šar	maláq˳I	malúqI	maIléq˳	mülúqI	NA	šar, k˳ak	mulúXI	abrawuč'e/H, mɨqI/H	bɨrq'Iɨnäš	abrawuče, mɨqI	k˳ak, čič	čič, mulaʡ	q'uláč-mók	meq
175	ПИЯВКА	ц1убдар	зәли	сюлюк	сулук	c'urúmeli	kurenži/L		guraža/L	gurunč/L	guránča/L	guruš	guruš/L	gorožni	gorozni	c'urbila/M	c'urbila	c'urbela	zali	miláq̄˳I	žínžru	hüt'ǘr/H	wič'rí	c'ic'	NA	zalí	NA	NA	zelé	zelé	zele/H	zele	zele	zäli	zäli	zolɨ́	zäli
176	МУХА	моза	милчәк	жибин	дживин	t'ot'	t'ent'a/L		t'it'i/R	t'unt'/L	t'unt'ú/L	t'unt'u	t'ut'/L	t'ut'	t'ut'	t'ot'/H	t'ot'	t'õt'	zimiz	t'et'	hílku || híluku	mizmízi/H	č'amč'	t'ut'	t'ut'	NA	t'ut'	NA	t'˳at'	dɨd	qIɨnejt'e/LR, t'ot'/H	t'ot'	bɨzbɨzaj, t'ot'	t'ɨt'	t'ut', mičäg	bemb	t̃at̃
177	СЛЕПЕНЬ	NA	ҝөјүн (бөјәнәк)	гёгевюл	гегевул	nik'	nič'u/HL		t'it'ik̄'o/R	nus'a/H	c'ará/L	mišta || ništa	mišt'ala/LH	Lit	wazra	biržölä/M	birzola	bužilo	aIk˳ˈ	zíga	náIL'u	ǯágli/H	ǯag˳alí	q'ac'rák	murž	murǯ	Xurs	NA	š˳et	nuǯ	bɨzbɨzaj/H, mo:za/RFL	X˳ajäna t'ot', nož, moz	noǯ, mo:zi	buRbuRu	lemildu t'ut'	pši bemb	gügejil
178	ПЧЕЛА	накхармоза	ары	балжибин	балдживин	na	pera/HL		hera/HL	pijã/H	péra/RH	pera	por/H	nucos t'ut'	q'ič'uras t'ut'	nucodas t'ot'	nucodas t'ot	t'õt'	naj, c̄̌irRIu	murqé	t'ant'	warf/H	warʔ	war	warw	NA	warw	NA	kuní, waʔ	RubáR, zübéz	t'ot'/H	t'ot'	t'ot'	šěrǯi t'ɨt'	jitili t'ut'	a:rɨ́	t̃at̃
179	КОМАР	чуьрк	ағҹаганад	сюйрюжибин	сувлудживин	k'ará	k̄'ara/H		ǯibi || žibi/RL	k'ara/L	k'ará/L	k̄yara	k'ara/H	Haj	Haja	kelä/L	kälä	kelo	mič'ak	mič'ák	k'ára	imímaj/F	mizmíz	mizmíz || mizmízaj	šit̄aj, šít̄ilaj	NA	šit̄	NA	š˳et	milčeky	mɨčak/LH	NA	mɨčak	mičěk	hünü	NA	moc̄̌ak̃
180	МОЛЬ	неца	ҝүвә	гюе	гуе	iš	resi/L		reše/L	jes̄ila/HFL || jes̄/H	res̄íla/HFL || res̄í/HL	res̄i	zido/LH	zedo	NA	sida/MFL	sida	sɨdɵ	nuc	q'ik˳ˈ	níbsu	sur/H	sur	s̄ür	q'abq'	q'awq'	urs	NA	q'üč'	jis	gɨwa/H	[same]	gɨwa	givä	güvä	sus	muRmuR
181	МУРАВЕЙ	зингат	гарышга	хомурсгъа	къомускъа	c'únc'ru	ɫanc̄'i/HL		k̄'ara/H	žuž/H	žužú/H	žunžu	žuža/LH	recenjo	recen	hũca/M	hũca	hũco	mit'iq'uq'u	zimízal	zímzi || zímzu	c'imíc̄i/R	zimz	zewz	zabz	ziwz	zibz	NA	c̃˳ez	ʒɨʒɨ́XI	GIarɨšXIa/H	semsälä	nyasXIur	ʒɨz || zɨz	GarɨšGa	q̃arɨšq̃á	Xurutul || Xurutur
182	ПАУК	гезг	һөрүмчәк	мияма	мияла	hum	misqara/HL		q̄aq̄ara/L	qod/H	qodú/H	hak'yat'an	bo:ceru/L	bozoRu	roq'	kalaRas q'i/M-FL	q'imaq'o	kələq'i	X̄˳Iarcu	qisqáne	k˳ˈet'-X˳árši	XašXáš/R	Xas̊	Xangrúš	q̄ará-Hasan	ǯimǯáX	ǯamǯáX	NA	Xc̃̌rákan	šámkal	oIlɨmčak/H, gindarak˳/H	oIlɨmčak, gindarag	OIlɨmčak, gindarang	urumǯěg	baʕbur	q'ilä́-bar	ǯolak̃
183	БАБОЧКА	полла	кәпнәк	гёбелек	гуьвелек	t'alák'uč	q'at'ipa/L		k̄'užara/HHF	s̄ajt'a/H	k'ak'umá || k'ak'má/H	k'urk'ula	RoRont'u/L	L'andilu	papat'u	päpät'ö/MMH	päpät'ö	papat'u	t'imit'aj	p̄azé	c'imíc'əla	báIt'li/H	p̄azí	c̊uk'	c'abrúqIan	c'abráq̄il	c'abráq̄il	NA	perwána	t'ebébel	kaIpanak/H	gak̄abaj	kaba	c'ɨlc'äng, roH	čünglälälä	käpänä́g	pampaluk̃
184	КУЗНЕЧИК	цаьцболг	шала ҹырҹырама	ченгертки	цІерцІ	náHk˳ač'	Rac'a/L		Rač'a/L	Ranc'a/L	Xanzá/L	Rarc'a	hõc'u/RL	Xoc'i	Xoc'e	Xac'o/MH	Xac'o	Xɵ̃c'ə	q˳arč, q˳ac'	čat'	apál-Xác'i	Gilgunága/H	uk'an-q'Ianc̄	c̊uk'	čuk'y || čük'y	Hárčaj	penk˳ˈy	NA	c'ic'	c'ɨc'	c'ity/F	c'ity	c'ity	c'ɨlc'äng, ǯinǯira	c'ig	c'ic'ín	čät̃k̃an
185	КЛЕЩ	веччалг	ҝәнә	къасарткъы	къасарткъи	Hec'kér	labila/L		šarašo/HHL	sinaL˳/L	tas̄ú/L	micuq'u	mic'iq'uR	mic'iq'u	sena	rica/ML	rica	rɨcə	s̄̌uc'	t'emrúx̄, k'ak'áre	X˳imc' || X˳inc'	Xíc'i/R	Xic'	zeq˳ˈ	Xic'	X˳ec'	Xic'	NA	p'ap'áq'aj	baq'áq'aj	gane/HL	genä	gena	gänä, sak˳ˈal	qənə	ginä́	gižäk̃
186	БЛОХА	сагал	бирә	бюрче	бурче	č'et'	č'onni/HL		č'ãt'i/HL	č'ann/H	č'ánni/HL	č'andi	č'eke/HL	č'iki	č'iki	č'ike/HM	c'ike	č'ige	k'ača	c'éka	č'in	č'üj/H	č'ud	č'ir	č'id	NA	č'id	NA	č'ɨt	č'id	č'ɨn || č'in/H	NA	č'in	č'id	č'id	č'üt	in
187	ВОШЬ	меза	бит	бит	бит	nac'	noc̄'i/HL		nac̄'i/HL	nas'/H	nac'i/HL	naci	noco/L	noci	noce	naco/M	naco	nɵcə	nac'	nez	nac'	níc̄i/R	nic̄	net̄	NA	net̄	nit̄	NA	net	lixy	wixy/R	NA	wixy	liš	liš	nimc'	nec̃
188	ГНИДА	хинжа	сиркә	сирке	сирке	t'ihi	t'ana/L		t'ani/HL	t'ana/L	t'aná/L	t'ana	nocus K'imač'/L-LH	k'eneč'	č'ima	č'ime/HM	c'ima	t'ɨma	t'u	net'	nat'	nít'i/R	nit'	net'	NA	net'	nit'	NA	net'	net'	nat'/H	nät'	nat'	č'id	k'id	k'ind	t̃e
189	КЛОП	къийзорг	тахтабити	къаннала	къаннала	íʔuš	L'anXil/HL		q̄ãda/HL	tas̄˳/L	NA	ɫas̄u	hãj/R	ɫacu	tawsa	Xöršöl/H	bälRinžä	hahija	NA	taXtá-bit	wínisi	gedrége/R	gadrág	gadrád	taXt̄á-bit'	taXt̄á-bit	taXtá-bit	NA	šɨt	šit	šin/LH	šin	šin	šut'	šut'	taxtá-bití	t̃aXt̃a-bit̃i
190	ДЕРЕВО	дитт	ағаҹ	терек	агъач	R˳et'	reša/HL		ruša/HL	woha/H	rúša/H	roha	Ron/F	ažo	aže	XöXö/M	XöXö	XõXe	murx	t̄alt̄é	q˳át'i	har/H	har	NA	k'ur	k'ur	k'ur	NA	t̃ar	Xuk	jɨw || juw/F	NA	jiw	dar	dǝr	višä́	Xod
191	ЛЕС	хьун	мешә	агъачлыкъ, орманлыкъ	орман	rox	reša		ruša	woha	ruhú/H	roha	Ron	ciq	čeq	wan/M	wan	hẽn	wac'a	wác'a	X̄˳ak	har, jarkúr/R	har, jarkúr	aX˳	NA	dar	dar	NA	t̃am	dam	č'alaǧ/H	NA	č'alag	ruk	miše	mašá	c̄̌äläj
192	КУСТ	колл	кол	уьлкю	чирха	qeréq	žala/L		qalaq̄e/HHL	xul/L	hak'ú/LR	hak'u	ažan/LH	Run	NA	köč/M	küč	koč, žagi	q̄˳at'a	R˳át'a	q˳Iéni, q˳ˈIéq'Iəla	NA	ruk	NA	t'urf	q˳ˈalí	NA	NA	wal, kɨl	kúl	kol/H	[same]	kol	kul	kul	kol	RIampal
193	ВЕТКА	га	будаг	бутакъ	къали	ʕinč'íl, nuc'	anga/HL		hala/L, ruc̄'e/RL	hala/L, wus'/L, zala/L	halá/L	hala, ruca	ala/H, šamat'u/H	ara	ali, Rilla	ä̃ne/H, c'ic'o/H	äle, c'ic'o	ale	q̄Iart̄a, mit'i	k̄ạlc̄̌é	Xol	kül/H, t'ul	k'urán kul, t'ul	kul, kat'úl, t˳ˈal	NA	NA	darán kul, t'ul	NA	Xäl, kɨl, t˳ˈal, c'erc'	pɨt', t'ur, t'ul	bɨtaR/H, tuIba/L	bɨtaR, t'ur, tuIbah	bɨtaR, t'ur, tuIba	zuR, c'il, t'ir	budaR, t'ul	budáR, šaX	taj, c̄̌ik̄
194	ЛИСТ	г1а	јарпаг	япыракъ	ярпакъ	t'amáH	ɫaXib/HF		L'ãde/HL	apal/L	apál/L	ali	lib/F	LaIb	Lebu	Libö/LM	Libo	Libu	č'ap'i	k'ap̄ára	k'áč'i	k'áǯa/H	k'aǯ	c'aw	p'aIž, c'ab	p'aIǯ, c'aw	c'ab	NA	riq'ä́j	q'urúq'	t'ele/H	NA	t'ele	beš	jarpaR	jarpáR	Xazal
195	КОРА	чкъор	габыг	къабукъ	къавукъ	maq'ár	qal/F		q'oli/RL, qali/HL	qal/L, q'eč˳ˈ/H	qal/L, q'eč'ú/H	qali	qal/F, č'ita/HL	q'Iul	q'ul || q˳ˈil, L'iq'in	qar/H, L'eq'ä/H, q'eq'elbä/RLRLL	L'eq'a, q'eq'elba	rič'ul	k̄iri	žer	páq'ut, qal	ǧal/H	ǧal	gal	gužál	q̄ark	q̄ark	NA	kan, čk̃al	Gabɨ́X, ǯugál, č'ɨXɨ́n	q'abɨX/H, luk'on/HL	[same]	q'abɨX, luk'on	GabuX	GabuR	q̃obúR	qIoI || XIol
196	КОРЕНЬ	орам	көк	тамур	тамур	L'ibíl	hiL'im/LH		eL̄'e/R	heL'im/LH	hiL'ím/LH	haL'a(b) ž˳ala	rok'o/H	rok'o	rok'e	XemüX/L	XemuX, biRa	XumuX	marX̄˳a	márq̄˳a	márX̄u	ǯuw/R	c̄̌iw	mar?̵	marq˳I	mär?̵	marʔ	NA	dɨwɨ́l, č'aráX˳	R˳ab	kok/H	[same]	kok	kuk	kuk	kok	tÜm
197	смола		гатран	сылама	силама	pic'	pirc̄'i/L		q̄'iri/L	bis'/L	mic'í/L	mici	q'ono/LH	q'oni	q'one	q'ana/H	q'ana	q'ɨdǝ	pic'	garž	pic'	ílk'i/F, gulúrš/H	elk'	?̵urk'	pic', ʕurk'	?̵ürk'	?̵urk'y	NA	k̄arž	jɨXI	saq̄ɨz/HL	NA	saq̄ɨz	NA	k'ošk'un	k'ušk'ún, qir	NA
198	ПЕНЬ	гуьйргаш	көтүк	тюпгюч	къита	ʕunúq	k'urc̄'o/H		keni/HL	k'obara/L	hank'ára/H	k˳ˈanč'ara	zud/H	zudi	zude	zude/M	zude	zude	uX	qat	dič', kutúk	q'aw/R	q'ab	NA	q'ab	q'aw	q'ab	NA	k'anč'	G˳at'	kutyuk/H	[same]	kutyuk	kutuk	kutuk	kotɨ́g, kok	k̃öt̃t̃ü
199	ЩЕПКА	ч1ешалг	јонгар	яркъыч	яркъич	ʕismík'	c'umur		čiq̄i/RH	s'ins'/R	c'ic'ín/HR	k̄yink̄yi	RonRo/LH	RoRu	q'ot	LiX/L, c'iX/L	LiX, c'iX	LiXa	c'uc'alu	uc'-éla	NA	s̊ul/H	dars̊úl	ruc'él	žiRá	c'alá	c'elá	NA	q̃uc'	Guc'	Ruc'a/HL	Ruc'a	Ruc'a	c'ɨ́lk'äm	c'inik'	q̃ɨrɨ́X	talaš
200	БЕРЁЗА	дакх	тозағаҹы	макъар, къайынагъач	макъар	níHil R˳et'	beXu/L		beqaL̄i ruša/L-HL	beXuL woha/L-HH	beXúr/L	ž˳ala	mihe/LH	me	mi:	mije/L	mije	mĩhe	k'aIla-hi	maq˳	moL'ór	muXIún har	nurXI	NA	NA	NA	NA	NA	wärX	hIuXI	woXI/H	NA	wɨXI	merX	merX	NA	NA
201	ДУБ	наж	палыд	эмен	эмен	mik, mikíl R˳et'	NA		činariL̄i L'̄et'u/RL, činari/L	nik˳/R, nikuL woha	NA	nix̄i c'ulaL'a || mix̄i c'ulaL'a, mix̄iLa roha	muqurk'a/L, muqurk'as Ron	naHuk'la, naHu	nihi	niRe/L	niRe	mõh, mõhas XōXe	c̄̌iq'a, paIlut	NA	NA	maqI/H	maq˳I	maqIán k'ur	NA	palút	meq˳	NA	mäR˳, mäRün t̃ar	Xik, maXI˳	moqI/H	maq˳Ia	moqI	meR	palud || palut	palɨ́d	maXI, maXina Xod
202	ЛИПА	хьех	чөкә	ёге	ёге	hádil R˳et'	X˳o/H		qaL̄i ruša/L-HL	Xa:L woha/L-H|	NA	XaLuLa roha	Rodo/L	Rod	Rod	had/L	had	hɵd	xiri	x̄iré	had	Rurdín/R har	XIarǯ	Xirdín k'ur	Xird	Xird	NA	NA	Rulc̃ín t̃ar	Xɨd	xidy/L	NA	Xid	Xir	šabolut'	NA	NA
203	ИВА	NA	сөјүд	тал	талтерек	nuc'íl R˳et'	hinc̄'u/HF		muc̄'oL̄i ruša/RRL-HL	hĩs'uL woha/HF-H	hinc'úr/HF	micuLa roha	ẽco/H	hič'	k'i:	ãco/L	aco	ə̃cə	š˳erš˳i	NA	NA	c̊'ul/H	c̊'al	NA	NA	NA	NA	NA	čoˈal	č'ul	č'ow/R	NA	č'ow/R	sugut	sugut	sugút	söjüd
204	ТРАВА	буц	от	от, халта	от	Xer	k˳ˈordo/H, hunč'a/HF		žomi/HL, L̄'ũs̄i/RL	hũc̃'a/L	hṹč'a/L	žimi, hunč'a	boX/F	oš, biX	beX	boX/M	boX	bəX	urt̄u	q'ar	hóti, č'il	úk'u/F	uk'	jik˳ˈ	uk'y || ük'y	ük'y	ük'y	NA	wäq'	uq'	ok'/F	oq'	ok'	xɨn	xɨn	ink	o
